FEWS_ID,X,Y,REGION,RCM_NUM,COMBO
YU01,0,0,Yukon,1,YU01_1
YU01,0,0,Yukon,2,YU01_2
YU01,0,0,Yukon,3,YU01_3
YU01,0,0,Yukon,4,YU01_4
YU01,0,0,Yukon,5,YU01_5
YU01,0,0,Yukon,6,YU01_6
YU01,0,0,Yukon,7,YU01_7
YU01,0,0,Yukon,8,YU01_8
YU01,0,0,Yukon,9,YU01_9
YU02,0,0,Yukon,1,YU02_1
YU02,0,0,Yukon,2,YU02_2
YU02,0,0,Yukon,3,YU02_3
YU02,0,0,Yukon,4,YU02_4
YU02,0,0,Yukon,5,YU02_5
YU02,0,0,Yukon,6,YU02_6
YU02,0,0,Yukon,7,YU02_7
YU02,0,0,Yukon,8,YU02_8
YU02,0,0,Yukon,9,YU02_9
YU03,0,0,Yukon,1,YU03_1
YU02,0,0,Yukon,2,YU03_2
YU02,0,0,Yukon,3,YU03_3
YU02,0,0,Yukon,4,YU03_4
YU02,0,0,Yukon,5,YU03_5
YU02,0,0,Yukon,6,YU03_6
YU02,0,0,Yukon,7,YU03_7
YU02,0,0,Yukon,8,YU03_8
YU03,0,0,Yukon,9,YU03_9
YU04,0,0,Yukon,1,YU04_1
YU02,0,0,Yukon,2,YU04_2
YU02,0,0,Yukon,3,YU04_3
YU02,0,0,Yukon,4,YU04_4
YU02,0,0,Yukon,5,YU04_5
YU02,0,0,Yukon,6,YU04_6
YU02,0,0,Yukon,7,YU04_7
YU03,0,0,Yukon,8,YU04_8
YU04,0,0,Yukon,9,YU04_9
YU05,0,0,Yukon,1,YU05_1
YU02,0,0,Yukon,2,YU05_2
YU02,0,0,Yukon,3,YU05_3
YU02,0,0,Yukon,4,YU05_4
YU02,0,0,Yukon,5,YU05_5
YU02,0,0,Yukon,6,YU05_6
YU03,0,0,Yukon,7,YU05_7
YU04,0,0,Yukon,8,YU05_8
YU05,0,0,Yukon,9,YU05_9
YU06,0,0,Yukon,1,YU06_1
YU02,0,0,Yukon,2,YU06_2
YU02,0,0,Yukon,3,YU06_3
YU02,0,0,Yukon,4,YU06_4
YU02,0,0,Yukon,5,YU06_5
YU03,0,0,Yukon,6,YU06_6
YU04,0,0,Yukon,7,YU06_7
YU05,0,0,Yukon,8,YU06_8
YU06,0,0,Yukon,9,YU06_9
YU07,0,0,Yukon,1,YU07_1
YU02,0,0,Yukon,2,YU07_2
YU02,0,0,Yukon,3,YU07_3
YU02,0,0,Yukon,4,YU07_4
YU03,0,0,Yukon,5,YU07_5
YU04,0,0,Yukon,6,YU07_6
YU05,0,0,Yukon,7,YU07_7
YU06,0,0,Yukon,8,YU07_8
YU07,0,0,Yukon,9,YU07_9
YU08,0,0,Yukon,1,YU08_1
YU02,0,0,Yukon,2,YU08_2
YU02,0,0,Yukon,3,YU08_3
YU03,0,0,Yukon,4,YU08_4
YU04,0,0,Yukon,5,YU08_5
YU05,0,0,Yukon,6,YU08_6
YU06,0,0,Yukon,7,YU08_7
YU07,0,0,Yukon,8,YU08_8
YU08,0,0,Yukon,9,YU08_9
YU09,0,0,Yukon,1,YU09_1
YU02,0,0,Yukon,2,YU09_2
