ID_SEN2,FEWS_ID,X,Y,REGION,COMBO
T07WFP,PO01,0,0,Porcupine,T07WFP_PO01
T07WFQ,PO01,0,0,Porcupine,T07WFQ_PO01
T07WFQ,PO02,0,0,Porcupine,T07WFQ_PO02
T07WFQ,PO03,0,0,Porcupine,T07WFQ_PO03
T07WFQ,PO04,0,0,Porcupine,T07WFQ_PO04
T07WFR,PO04,0,0,Porcupine,T07WFR_PO04
T07WEQ,PO05,0,0,Porcupine,T07WEQ_PO05
T07WER,PO05,0,0,Porcupine,T07WER_PO05
T07WFQ,PO05,0,0,Porcupine,T07WFQ_PO05
T07WFR,PO05,0,0,Porcupine,T07WFR_PO05
T07WEQ,PO06,0,0,Porcupine,T07WEQ_PO06
T07WER,PO06,0,0,Porcupine,T07WER_PO06
T07WEQ,PO07,0,0,Porcupine,T07WEQ_PO07
T07WER,PO07,0,0,Porcupine,T07WER_PO07
T07WEQ,PO08,0,0,Porcupine,T07WEQ_PO08
T07WER,PO08,0,0,Porcupine,T07WER_PO08
T07WDQ,PO09,0,0,Porcupine,T07WDQ_PO09
T07WEQ,PO09,0,0,Porcupine,T07WEQ_PO09
T07VFK,YU01,0,0,Yukon,T07VFK_YU01
T08VLQ,YU01,0,0,Yukon,T08VLQ_YU01
T07VFK,YU02,0,0,Yukon,T07VFK_YU02
T08VLQ,YU02,0,0,Yukon,T08VLQ_YU02
T07VEK,YU03,0,0,Yukon,T07VEK_YU03
T07VEL,YU03,0,0,Yukon,T07VEL_YU03
T07VFK,YU03,0,0,Yukon,T07VFK_YU03
T07VFL,YU03,0,0,Yukon,T07VFL_YU03
T08VLQ,YU03,0,0,Yukon,T08VLQ_YU03
T08VLR,YU03,0,0,Yukon,T08VLR_YU03
T07VEK,YU04,0,0,Yukon,T07VEK_YU04
T07VEL,YU04,0,0,Yukon,T07VEL_YU04
T07VEL,YU05,0,0,Yukon,T07VEL_YU05
T07VEL,YU06,0,0,Yukon,T07VEL_YU06
T07WEM,YU06,0,0,Yukon,T07WEM_YU06
T07VEL,YU07,0,0,Yukon,T07VEL_YU07
T07WEM,YU07,0,0,Yukon,T07WEM_YU07
T07WEM,YU08,0,0,Yukon,T07WEM_YU08
T07WEM,YU09,0,0,Yukon,T07WEM_YU09
T07WDM,YU10,0,0,Yukon,T07WDM_YU10
T07WEM,YU10,0,0,Yukon,T07WEM_YU10
